ID Caso;ID Caso Relacionado;Año;Mes;Día;Código DANE de Municipio;Municipio;Departamento;Región;Modalidad;Presunto Responsable;Descripción Presunto Responsable;Abandono o Despojo Forzado de Tierras;Amenaza o Intimidación;Ataque Contra Misión Médica;Confinamiento o Restricción a la Movilidad;Desplazamiento Forzado;Extorsión;Lesionados Civiles;Pillaje;Tortura;Violencia Basada en Género;Otro Hecho Simultáneo;Total de Víctimas del Caso;Tipo de Armas;Latitud;Longitud
289053;;1989;07;24;68190;CIMITARRA;SANTANDER;MAGDALENA MEDIO;DESCONOCIDA;AGENTE DEL ESTADO;EJÉRCITO NACIONAL;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;6,40972961;-74,17030427
289055;;1989;07;24;47288;FUNDACION;MAGDALENA;SIERRA NEVADA DE SANTA MARTA;ASALTO;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;1;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;10,40157506;-74,1079065
289056;;1989;07;25;05893;YONDO;ANTIOQUIA;MAGDALENA MEDIO;ATAQUE INDISCRIMINADO;AGENTE DEL ESTADO;EJÉRCITO NACIONAL;0;0;0;0;0;0;0;0;0;;;6;ARTEFACTO EXPLOSIVO;6,925159318;-74,15824041
289058;;1989;07;28;47288;FUNDACION;MAGDALENA;SIERRA NEVADA DE SANTA MARTA;ASALTO;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;1;0;0;0;0;0;1;0;;VENTA DE PRECIO A BAJO COSTO;4;ND;10,45937818;-73,88406518
289059;;1989;07;31;52256;EL ROSARIO;NARIÑO;PATIA;ASALTO;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;1,725248832;-77,37126844
289060;;1989;08;01;54003;ABREGO;NORTE DE SANTANDER;PROVINCIA DE RICAURTE;ASALTO;GUERRILLA;EPL;0;0;0;0;0;0;0;0;0;;;7;ARMA DE FUEGO;8,019834481;-73,15850485
289061;;1989;08;06;54810;TIBU;NORTE DE SANTANDER;CATATUMBO;ASALTO;GUERRILLA;ELN;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;8,713507237;-72,79925855
289062;;1989;08;12;23001;MONTERIA;CORDOBA;ALTO SINU Y SAN JORGE;RUTA;GRUPO PARAMILITAR;LOS TANGUEROS;0;0;0;0;0;0;0;0;0;;;7;ARMA DE FUEGO;8,742098973;-76,04750337
289063;CR035183;1989;08;13;44430;MAICAO;LA GUAJIRA;ALTA GUAJIRA;RUTA;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;7;;;7;ARMA DE FUEGO;11,38157764;-72,29500818
289064;;1989;08;15;81794;TAME;ARAUCA;SARARE;FALSO POSITIVO;AGENTE DEL ESTADO;EJÉRCITO NACIONAL;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;6,390650479;-71,79178647
289065;;1989;08;11;18460;MILAN;CAQUETA;FLORENCIA Y AREA DE INFLUENCIA;DESCONOCIDA;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;7;ND;1,10125154;-75,40103326
289066;;1989;08;19;68081;BARRANCABERMEJA;SANTANDER;MAGDALENA MEDIO;RETENCIÓN/EJECUCIÓN;GUERRILLA;FARC;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;7,054074558;-73,78211646
289067;;1989;08;19;47001;SANTA MARTA;MAGDALENA;SIERRA NEVADA DE SANTA MARTA;DESCONOCIDA;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;9;ARMA DE FUEGO;11,12189436;-73,88527855
289068;;1989;08;19;15480;MUZO;BOYACA;ALTIPLANO CUNDIBOYACENSE;DESCONOCIDA;GUERRILLA;NO IDENTIFICADA;0;0;0;0;0;0;0;1;0;;;5;ARMA DE FUEGO;5,539429272;-74,11177139
289069;;1989;08;27;68773;SUCRE;SANTANDER;PROVINCIA DE VELEZ;ASALTO;GUERRILLA;FARC;0;0;0;0;0;0;0;0;0;;;10;ARMA DE FUEGO;5,983203734;-73,95936235
